"ptrOffset"	"ptrBytes"	"strOffset"	"strText"	"translation"
"0001E10E"	"8240"	"0001E250"	"ここは　おまえのような　よわいやつの"	"This is no place for a[n]weakling such as you."
"0001E110"	"8253"	"0001E263"	"くるところでは　ない、　いますぐ　かえって"	"Turn your back and leave,[n]lest you fall victim to"
"0001E112"	"8269"	"0001E279"	"いのちを　だいじに　するんだな。"	"the vicious creatures[n]roaming these halls."
"0001E114"	"827A"	"0001E28A"	"なにか　おさがしかな　"	"Are you looking for[n]something?"
"0001E116"	"8286"	"0001E296"	"それが　どこにあるか　うらなって　しんぜよう"	"Allow me to divine its[n]location with my powers."
"0001E118"	"829D"	"0001E2AD"	"うう　むむむむむ　!!"	"Mmmmmmmm!"
"0001E11A"	"82A8"	"0001E2B8"	"なんとうじゃ　なんとうと　でたぞ!!"	"I see! It's clearly...[n]somewhere south-east!"
"0001E11C"	"82BA"	"0001E2CA"	"あたるも　はっけ　あたらぬも　はっけ　ひっひっ!!"	"That's all I can say![n]Tee-hee!"
"0001E11E"	"82D3"	"0001E2E3"	"なむあみだぶつ　なむあみだぶつ"	"May Lord have mercy on[n]your soul."
"0001E120"	"82E3"	"0001E2F3"	"わしはなにもいわん　おぬしが　りゅうこつきを"	"There is nothing more I[n]can say."
"0001E122"	"82FA"	"0001E30A"	"たおすのを　まって　おるぞ!!"	"I'll wait for you to deal[n]with Ryukotsuki!"
"0001E124"	"8309"	"0001E319"	"ああ　おそろしや　おそろしや"	"Ahh... I'm scared...[n]I'm so scared..."
"0001E126"	"8318"	"0001E328"	"きょだいな　かぶとが　ひをはいて、、、、"	"A giant helm, breathing[n]fire..."
"0001E128"	"83FB"	"0001E40B"	"おお　おぬしの　うしろで"	"Ohh! Behind you![n]I see them!"
"0001E12A"	"8408"	"0001E418"	"ひそかに　おぬしを　みまもる"	"I can see the spirits of[n]two brave warriors,"
"0001E12C"	"8417"	"0001E427"	"せんしの　れいが　ふたつみえる!!"	"watching over you, their[n]eyes full of pride!"
"0001E12E"	"8356"	"0001E366"	"いちかけ　にかけて　さんかけて　"	"The pain..."
"0001E130"	"8367"	"0001E377"	"しかけて　ころして　ひがくれて、、、"	"It never ends..."
"0001E132"	"837A"	"0001E38A"	"どうか　この　うらみを　はらしてください。"	"Avenge me and free me from[n]this torment..."
"0001E134"	"8390"	"0001E3A0"	"あさも　はよから　じょぎんぐとは"	"You should go jogging very[n]early in the morning."
"0001E136"	"83A1"	"0001E3B1"	"せいが　でるのう"	"It builds character."
"0001E138"	"83AA"	"0001E3BA"	"たいりょく　づくりに　はげむのじゃぞ!!"	"And it's good for your[n]health!"
"0001E13A"	"83BE"	"0001E3CE"	"いいことを　おしえてあげよう。"	"This is important, so[n]listen well!"
"0001E13C"	"83CE"	"0001E3DE"	"いちばん　さいしょの　かどを　まがっては　いかん!!"	"Do NOT enter the very[n]first turn!"
"0001E13E"	"83E8"	"0001E3F8"	"わしの　いうことを　しんじるのじゃ!!"	"Trust me! You do NOT want[n]to go there!"
"0001E140"	"832D"	"0001E33D"	"みなみの　なかすには　おにが　いるという!!"	"There are demons in the[n]southern sandbank!"
"0001E142"	"8343"	"0001E353"	"ふおっ　ふおっ　ふおっ　ふおっ、、、"	"Hoh hoh hoh hoh..."
"0001E144"	"8356"	"0001E366"	"いちかけ　にかけて　さんかけて　"	"The pain, the pain..."
"0001E146"	"8428"	"0001E438"	"おぬし　はどうけんを　さんぼん　もっておるか"	"Have you reclaimed all of[n]the three Pulse Blades?"
"0001E148"	"843F"	"0001E44F"	"りゅうこつきは　はどうけんが　さんぼんなければ"	"You need all three of them[n]to defeat Ryukotsuki!"
"0001E14A"	"8457"	"0001E467"	"たおすことができん　かならず　さがすのじゃ!!"	"Find them all!"
"0001E14C"	"846E"	"0001E47E"	"おぬし　りゅうこつきの　しろを　しっておるか"	"Do you know the location[n]of Ryukotsuki's castle?"
"0001E14E"	"8485"	"0001E495"	"ぼすの　へやは　すぐそこじゃ!!"	"The boss room is nearby!"
"0001E150"	"8495"	"0001E4A5"	"おぬしの　いまの　ちからで　たおせるかのう。"	"I think you have what it[n]takes to succeed."
"0001E152"	"84AC"	"0001E4BC"	"りゅうこつきは　たおせたのかのう"	"You were unable to defeat[n]Ryukotsuki. But is this"
"0001E154"	"84BD"	"0001E4CD"	"しんでも　しにきれぬと　いうのなら　ばばが"	"how you want it all to[n]end? You can try again, if"
"0001E156"	"84D3"	"0001E4E3"	"そなたを　もういちど　よみがえらせて　やっても"	"you truly wish it so."
"0001E158"	"84EB"	"0001E4FB"	"よいがのう"	"Tell me: do you wish to be[n]resurrected and try again?"
"0001E15A"	"84F1"	"0001E501"	"よみがえる"	"Revenge!!"
"0001E15C"	"84F7"	"0001E507"	"よみがえらない"	"Let me rest..."
"0001E15E"	"84FF"	"0001E50F"	"こんじょうの　ないやつじゃのう、、、。"	"Your spirit is weaker than[n]I thought... Even so, this"
"0001E160"	"8513"	"0001E523"	"じゃが　そなたが　いつのひか　ふたたび"	"does not have to be the[n]end. Someday you might"
"0001E162"	"8527"	"0001E537"	"りゅうこつきに　たちむかうひが　くるとしんじて"	"come back and attempt to[n]defeat Ryukotsuki again."
"0001E164"	"853F"	"0001E54F"	"ふっかつの　じゅもんを　さずけてやろう"	"If you wish to return,[n]remember this spell..."
"0001E166"	"8553"	"0001E563"	"いらしゃいまし"	"Welcome!"
"0001E168"	"855B"	"0001E56B"	"わかいの　なにか　かわんかね"	"Buy something, young one!"
"0001E16A"	"856A"	"0001E57A"	"まいどあり"	"Thank you!"
"0001E16C"	"8570"	"0001E580"	"まだ　なにか　かうかね"	"Anything else?"
"0001E16E"	"857C"	"0001E58C"	"それぐらいの　かせぎじゃぁ　うれないね"	"You need more money!"
"0001E170"	"8590"	"0001E5A0"	"もう　うるものは　ないのう"	"I'm all out of items!"
"0001E172"	"859E"	"0001E5AE"	"またきておくれ"	"Come back soon!"
"0001E174"	"85A6"	"0001E5B6"	"ひっひっひっ。　のろわれた　じごくへ　ようこそ。"	"Hee hee hee! Welcome to[n]our accursed world!"
"0001E176"	"85BF"	"0001E5CF"	"もし　そなたが"	"Ahh, I see. You are here[n]on a quest for revenge."
"0001E178"	"85C7"	"0001E5D7"	"まことの　ゆうきを　もつものならば"	"Defeating Ryukotsuki is[n]impossible without your"
"0001E17A"	"85D9"	"0001E5E9"	"みごと　りゅうこつきを　たおし"	"family heirlooms: the[n]legendary Pulse Blades."
"0001E17C"	"85E9"	"0001E5F9"	"そなたの　せんぞから　つたわる　かほうの"	"Reclaim them all! Only[n]then will you be able to"
"0001E17E"	"85FE"	"0001E60E"	"はどうけんを　とりもどしてまいれ。"	"get your revenge and kill[n]the demon Ryukotsuki!"
"0001E180"	"8627"	"0001E637"	"この　じごくかいには　しまが　よっつ　ある"	"There are four islands in[n]this hellish realm."
"0001E182"	"863D"	"0001E64D"	"しまには　たくさん　みせがあるから"	"You can find many shops on[n]each one of them."
"0001E184"	"864F"	"0001E65F"	"そこで　ぶきを　かうと　よかろう。"	"The weapons and tools they[n]offer may prove useful."
"0001E186"	"8661"	"0001E671"	"ふぉっ　ふぉっ　ふぉっ"	"Hoh hoh hoh!"
"0001E188"	"866D"	"0001E67D"	"おぬし　かわった　けんを　もっておるのう"	"That's one interesting[n]sword you have there!"
"0001E18A"	"8682"	"0001E692"	"わしは　これに　よくにた　けんを"	"Hm? A blade like this one?"
"0001E18C"	"86AA"	"0001E6BA"	"ここまで　いきてこれるとは　そうとうなうでまえじゃ"	"You must be very skilled[n]if you survived this long."
"0001E18E"	"86C4"	"0001E6D4"	"このしまは　てんくうかいからおちた　みつくびりゅうの"	"This is the Three-headed[n]Island, born from the"
"0001E190"	"86DF"	"0001E6EF"	"ほねで　できた　みつくびとうじゃ。"	"remains of a three-headed[n]dragon fallen from Heaven."
"0001E192"	"86F1"	"0001E701"	"おぬしが　これからも　ぶじで　いられるよう"	"You have a harsh journey[n]ahead of you."
"0001E194"	"8707"	"0001E717"	"このじじが　いのってやろう。"	"I'm going to pray for your[n]safety."
"0001E196"	"8716"	"0001E726"	"ばぶで　やんゆじゅ　ほいみ　れろれろ、、、"	"Babude yanyuju[n]hoimi rerorero..."
"0001E198"	"8C06"	"0001EC16"	"ここは　じゃあくなる　まじんたちの　すむ"	"This is the Prison Gate[n]Island."
"0001E19A"	"8C1B"	"0001EC2B"	"ごくもんとうじや。"	"It is inhabited by some of[n]the most evil of demons."
"0001E19C"	"8C25"	"0001EC35"	"りゅうこつきに　ころされ　うかばれぬ　たましいを"	"The souls of those killed[n]by Ryukotsuki end up here."
"0001E19E"	"872C"	"0001E73C"	"よくぞ　ここまで　やってきた"	"Well done coming this far."
"0001E1A0"	"873B"	"0001E74B"	"おぬしの　さがす　ものは　もう　まぢかじゃ"	"You are very close to what[n]you seek."
"0001E1A2"	"8751"	"0001E761"	"だが　あんしんするのは　まだはやいぞ"	"But do not lose focus just[n]yet!"
"0001E1A4"	"8764"	"0001E774"	"おぬしに　これを　さずけよう。"	"Here, let me heal your[n]wounds."
"0001E1A6"	"8610"	"0001E620"	"さっ!!　ゆけ　りゅうこつきを　たおすのじゃ!!"	"Now go! Defeat Ryukotsuki!"
"0001E1A8"	"8693"	"0001E6A3"	"みなみの　どうくつで　みたことが　あるわい。"	"Oh, yes! I've seen it in[n]the caves to the south."
"0001E1AA"	"883E"	"0001E84E"	"これは　もう　むかしばなしとも　よげんともつかぬ"	"This is a legend told[n]since ancient times."
"0001E1AC"	"8857"	"0001E867"	"まぼろしの　でんせつじゃ"	"Whether it is a folktale[n]or a prophecy is for you"
"0001E1AE"	"8864"	"0001E874"	"はるかなときをこえ、まれき　がんねん　りゅうこつきが"	"to decide...[n]"
"0001E1B0"	"887F"	"0001E88F"	"じごくかいより　めざめた。ちじょうかいの　へいわを"	"In the first year of the[n]Demon Age, Ryukotsuki will"
"0001E1B2"	"8899"	"0001E8A9"	"まもるために、ふうまは　たちむかったのじゃが、ともに"	"leave the Netherworld to[n]conquer the world. Only"
"0001E1B4"	"88B4"	"0001E8C4"	"たたかった　あに　ふたりは　りゅうこつきに　ころされ"	"the three brothers of the[n]Getsu clan have a chance"
"0001E1B6"	"88CF"	"0001E8DF"	"かほうの　はどうけんも　うばわれてしまった。じゃが、"	"to stop him, wielding the[n]mystical Pulse Blades."
"0001E1B8"	"88EA"	"0001E8FA"	"ふうまは　かなしみを　ふくしゅうの　きもちにかえ、"	" [n]However, Ryukotsuki will"
"0001E1BA"	"8904"	"0001E914"	"かならず　りゅうこつきを　たおし、はどうけんを"	"prove too strong, and the[n]two eldest will die, while"
"0001E1BC"	"891C"	"0001E92C"	"とりもどすことを　ふたりの　あにの　たましいに"	"Fuma, the youngest, will[n]barely escape. He will"
"0001E1BE"	"8934"	"0001E944"	"ちかったのじゃ。"	"swear to avenge his fallen[n]brothers."
"0001E1C0"	"893D"	"0001E94D"	"おお、いま　そなたの　うしろに　ふうまが　みえる。"	" [n]Ohh! I see Fuma's spirit"
"0001E1C2"	"8957"	"0001E967"	"ふうまの　でんせつが　よみがえったのじゃ。めざすは"	"within you! Go forth, to[n]the Mad Demon Island!"
"0001E1C4"	"8971"	"0001E981"	"きょうきとう、りゅうこつきのすむ　まの　しまじゃ!!"	"Defeat Ryukotsuki once and[n]for all!"
"0001E1C6"	"8774"	"0001E784"	"よくぞ　こられた　ゆうかんな　せんしよ!!"	"Welcome, brave warrior!"
"0001E1C8"	"8789"	"0001E799"	"ここは　おにの　かおと　かいて　きがんとう"	"This is Demon Face Island."
"0001E1CA"	"87F7"	"0001E807"	"おお　ゆうかんな　わかものじゃ"	"Oh, what a gallant young[n]lad!"
"0001E1CC"	"8807"	"0001E817"	"さっ　もっと　ちかくによれ"	"No need to be shy![n]Come closer!"
"0001E1CE"	"8AE7"	"0001EAF7"	"むむ。　うんのいいやつ　きめんふを　やろう"	"It's your lucky day![n]I'll give you my Pass!"
"0001E1D0"	"8815"	"0001E825"	"いいものを　さずけよう。"	"I have just the thing for[n]such a brave warrior."
"0001E1D2"	"8BB4"	"0001EBC4"	"この　おに!!　わしの　かわいい　じゃきが、、、"	"Leave me alone, you fiend![n]My poor little demon..."
"0001E1D4"	"8BCC"	"0001EBDC"	"ぐう　ぐう　ぐう"	"Hmmm..."
"0001E1D6"	"8822"	"0001E832"	"ゆうかんな　わかものよ　ぶじに"	"I have healed your wounds."
"0001E1D8"	"8832"	"0001E842"	"たびを　つづけなされ。"	"Take care, young hero!"
"0001E1DA"	"898B"	"0001E99B"	"ここを　とおるもの　きめんふ　なしでは　とおせぬ"	"Halt! You can't come[n]through without a pass!"
"0001E1DC"	"89A4"	"0001E9B4"	"おぬし　きめんふを　もっておるか!!"	"Show me! Now!!"
"0001E1DE"	"89B6"	"0001E9C6"	"とおっても　いいおに!!"	"Then come on in!"
"0001E1E0"	"89C2"	"0001E9D2"	"きめんふ　もたぬもの　とうりゃんせ　とうりゃんせ。"	"Sorry pal![n]No pass, no entry!"
"0001E1E2"	"89DC"	"0001E9EC"	"うそを　つくもの　したを　ぬくぞ!!"	"You liar! I should carve[n]your tongue out for that!"
"0001E1E4"	"89EE"	"0001E9FE"	"ここを　とおるもの　きめんふ　ふたつ　なしでは"	"Halt!"
"0001E1E6"	"8A06"	"0001EA16"	"とおせぬ。"	"You can't come through[n]without two Demon Passes!"
"0001E1E8"	"8A0C"	"0001EA1C"	"ごうかあく!!"	"You PASS!"
"0001E1EA"	"8A13"	"0001EA23"	"ふごうかあく!!"	"You FAIL!"
"0001E1EC"	"8A1B"	"0001EA2B"	"うそつきは　はりを　のませるぞ!!!!"	"You liar! I should make[n]you eat needles for that!"
"0001E1EE"	"8A2D"	"0001EA3D"	"ここを　とおるもの　きめんふ　みっつ　なしでは"	"Halt!"
"0001E1F0"	"8A06"	"0001EA16"	"とおせぬ。"	"You need three Demon[n]Passes to come through!"
"0001E1F2"	"8A45"	"0001EA55"	"おとおりめされい!!"	"Go forth!"
"0001E1F4"	"8A4F"	"0001EA5F"	"ふぎゃうぎゃ!!　がおうっ!!　ぎいいっ!!"	"Grrrr... Roaaaarrr!"
"0001E1F6"	"8A63"	"0001EA73"	"なめんじゃねえよ!!"	"I said you need THREE!!"
"0001E1F8"	"8A6D"	"0001EA7D"	"ひっ　ひっ　ひっ　　おぬしきめんふが　ほしかろう"	"Hee hee hee! You want my[n]Demon Pass, don't you?"
"0001E1FA"	"8A86"	"0001EA96"	"ほしくば　じゃきと　たたかうべし!!"	"If you really want it, you[n]must earn it in battle!"
"0001E1FC"	"8A98"	"0001EAA8"	"おぬし　たたかうか!!"	"Are you ready to fight?!"
"0001E1FE"	"8AA3"	"0001EAB3"	"ひっ　ひっ　ひっ　おくびょうもの　おくびょうもの!!"	"Hee hee hee![n]What a coward!"
"0001E200"	"8ABD"	"0001EACD"	"きめんふを　やるべきかやらざるべきか"	"Should I give you my Demon[n]Pass or not?"
"0001E202"	"8AD0"	"0001EAE0"	"それが　もんだいじゃ"	"That is the question..."
"0001E204"	"8ADB"	"0001EAEB"	"やる"	"Give it..."
"0001E206"	"8ADE"	"0001EAEE"	"やらない"	"Don't give it..."
"0001E208"	"8AE3"	"0001EAF3"	"おっ!!"	"Oh!!"
"0001E20A"	"8AFD"	"0001EB0D"	"おぬし　かねは　もっておるか!!"	"Hey, you! Got any money?"
"0001E20C"	"8B0D"	"0001EB1D"	"きゃっしゅが　あれば　きめんふを　やろう。"	"I'll give you a Demon Pass[n]if you have the cash."
"0001E20E"	"8B23"	"0001EB33"	"じごくのさたも　かねしだい　ひっひっひっ。"	"Money is the best lawyer[n]in Hell! Hee hee hee!"
"0001E210"	"8B39"	"0001EB49"	"ひっひっひっ　きまえが　よいのう　おぬし"	"Wow, look at that![n]You're loaded!"
"0001E212"	"8B4E"	"0001EB5E"	"じやが　かねだけでは　やるわけには　いかん"	"Actually, money alone is[n]not enough."
"0001E214"	"8B64"	"0001EB74"	"じゃきと　たたかってもらうよ　ひっひっひっ。"	"You'll have to fight my[n]little friend too!"
"0001E216"	"8B7B"	"0001EB8B"	"びんぼうは　きらいじゃ!!"	"This ain't a charity, you[n]bum!"
"0001E218"	"8B88"	"0001EB98"	"うそつきの　びんぼうにんは　だいきらいじゃ!!"	"Stop lying, you penniless[n]bum!"
"0001E21A"	"8BED"	"0001EBFD"	"　　　　　　　　はい　　　　いいえ　　　　　　　"	"        Yes   No"
"0001E21C"	"879F"	"0001E7AF"	"ころされた　おにたちの　おんねんが　さまよう"	"The souls of the damned[n]roam this island, never"
"0001E21E"	"87B6"	"0001E7C6"	"のろいの　しまじゃ!!"	"to find rest!"
"0001E220"	"87C1"	"0001E7D1"	"とくに　たたりの　どうくつへは　ちかづかぬがよい"	"You'd better keep away[n]from the cursed cave."
"0001E222"	"87DA"	"0001E7EA"	"ゆきばのない　うらみの　たましいに"	"Approach it carelessly..."
"0001E224"	"87EC"	"0001E7FC"	"くわれてしまうぞよ!!"	"And you may be devoured by[n]those restless spirits!"
"0001E226"	"8C3E"	"0001EC4E"	"しずめてやれるのは　おぬしだけじゃ!!"	"You are the only one who[n]can give them peace!"
"0001E228"	"8C51"	"0001EC61"	"おぬしの　さがしもとめる　はどうけんは"	"You are looking for the[n]Pulse Blades, are you not?"
"0001E22A"	"8C65"	"0001EC75"	"どうくつの　どこかにある。"	"There should be one of[n]them in the caves nearby."
"0001E22C"	"8BD5"	"0001EBE5"	"みどころの　あるやつ。　てきながら　あっぱれ!!"	"You are a worthy foe!"
"0001E22E"	"8B9F"	"0001EBAF"	"にひゃく　ほど　はらってもらいまひょか。"	"Two hundred should do.[n]What do you say?"
"0001E230"	"8C73"	"0001EC83"	"りゅうこつきの　しろは　きょうきとうの"	"Ryukotsuki's castle is[n]right in the middle of"
"0001E232"	"8C87"	"0001EC97"	"まんなかに　たかく　そびえたっておるのじゃ!!"	"Mad Demon Island![n]Good luck!"
